calibration_prediction,origin,calibration_true,individual_f
2.8257653061224492,2.8257653061224492,2.85,2.8257653061224492
3.8257653061224492,3.8257653061224492,3.85,3.8257653061224492
3.8000000000000003,3.8000000000000003,3.5,3.8000000000000003
3.85,3.85,2.85,3.85
3.85,3.85,3.15,3.85
3.125765306122449,3.125765306122449,3.15,3.125765306122449
3.8257653061224492,3.8257653061224492,3.85,3.8257653061224492
3.8257653061224492,3.8257653061224492,3.85,3.8257653061224492
2.8257653061224492,2.8257653061224492,2.85,2.8257653061224492
3.125765306122449,3.125765306122449,3.15,3.125765306122449
3.85,3.85,3.5,3.85
3.85,3.85,3.5,3.85
3.8257653061224492,3.8257653061224492,3.85,3.8257653061224492
3.8257653061224492,3.8257653061224492,3.85,3.8257653061224492
3.85,3.85,1.35,3.85
3.475765306122449,3.475765306122449,3.5,3.475765306122449
3.85,3.85,3.15,3.85
3.475765306122449,3.475765306122449,3.5,3.475765306122449
3.8000000000000003,3.8000000000000003,3.15,3.8000000000000003
3.85,3.85,3.5,3.85
3.125765306122449,3.125765306122449,3.15,3.125765306122449
2.1757653061224493,2.1757653061224493,2.2,2.1757653061224493
3.475765306122449,3.475765306122449,3.5,3.475765306122449
3.125765306122449,3.125765306122449,3.15,3.125765306122449
2.8257653061224492,2.8257653061224492,2.85,2.8257653061224492
3.85,3.85,3.5,3.85
3.125765306122449,3.125765306122449,3.15,3.125765306122449
3.8000000000000003,3.8000000000000003,3.5,3.8000000000000003
3.475765306122449,3.475765306122449,3.5,3.475765306122449
3.125765306122449,3.125765306122449,3.15,3.125765306122449
3.475765306122449,3.475765306122449,3.5,3.475765306122449
3.475765306122449,3.475765306122449,3.5,3.475765306122449
2.1757653061224493,2.1757653061224493,2.2,2.1757653061224493
2.1757653061224493,2.1757653061224493,2.2,2.1757653061224493
2.1757653061224493,2.1757653061224493,2.2,2.1757653061224493
3.125765306122449,3.125765306122449,3.15,3.125765306122449
2.8257653061224492,2.8257653061224492,2.85,2.8257653061224492
3.85,3.85,2.2,3.85
3.85,3.85,3.5,3.85
2.1757653061224493,2.1757653061224493,2.2,2.1757653061224493
2.1757653061224493,2.1757653061224493,2.2,2.1757653061224493
2.8257653061224492,2.8257653061224492,2.85,2.8257653061224492
3.85,3.85,3.15,3.85
2.8257653061224492,2.8257653061224492,2.85,2.8257653061224492
3.128571428571429,3.128571428571429,3.15,3.128571428571429
3.85,3.85,3.15,3.85
2.8257653061224492,2.8257653061224492,2.85,2.8257653061224492
2.1757653061224493,2.1757653061224493,2.2,2.1757653061224493
3.85,3.85,3.15,3.85
3.85,3.85,3.85,3.85
3.8257653061224492,3.8257653061224492,3.85,3.8257653061224492
3.475765306122449,3.475765306122449,3.5,3.475765306122449
3.85,3.85,3.5,3.85
1.325765306122449,1.325765306122449,1.35,1.325765306122449
2.8257653061224492,2.8257653061224492,2.85,2.8257653061224492
3.8257653061224492,3.8257653061224492,3.85,3.8257653061224492
3.85,3.85,3.85,3.85
3.125765306122449,3.125765306122449,3.15,3.125765306122449
3.85,3.85,3.85,3.85
3.85,3.85,0.0,3.85
2.1757653061224493,2.1757653061224493,2.2,2.1757653061224493
2.1757653061224493,2.1757653061224493,2.2,2.1757653061224493
3.8257653061224492,3.8257653061224492,3.85,3.8257653061224492
3.85,3.85,3.15,3.85
1.325765306122449,1.325765306122449,1.35,1.325765306122449
3.85,3.85,2.2,3.85
3.85,3.85,3.5,3.85
3.8257653061224492,3.8257653061224492,3.85,3.8257653061224492
3.475765306122449,3.475765306122449,3.5,3.475765306122449
3.85,3.85,3.15,3.85
3.475765306122449,3.475765306122449,3.5,3.475765306122449
3.85,3.85,2.85,3.85
2.8257653061224492,2.8257653061224492,2.85,2.8257653061224492
2.8257653061224492,2.8257653061224492,2.85,2.8257653061224492
3.8257653061224492,3.8257653061224492,3.85,3.8257653061224492
3.85,3.85,3.85,3.85
3.8257653061224492,3.8257653061224492,3.85,3.8257653061224492
3.85,3.85,3.85,3.85
3.85,3.85,3.85,3.85
3.8257653061224492,3.8257653061224492,3.85,3.8257653061224492
3.85,3.85,2.85,3.85
3.85,3.85,3.85,3.85
3.85,3.85,3.15,3.85
2.857142857142857,2.857142857142857,2.85,2.857142857142857
3.475765306122449,3.475765306122449,3.5,3.475765306122449
3.475765306122449,3.475765306122449,3.5,3.475765306122449
3.8257653061224492,3.8257653061224492,3.85,3.8257653061224492
3.125765306122449,3.125765306122449,3.15,3.125765306122449
3.125765306122449,3.125765306122449,3.15,3.125765306122449
2.8257653061224492,2.8257653061224492,2.85,2.8257653061224492
3.85,3.85,3.85,3.85
3.5,3.5,3.5,3.5
3.85,3.85,3.5,3.85
3.85,3.85,3.85,3.85
3.475765306122449,3.475765306122449,3.5,3.475765306122449
3.85,3.85,3.5,3.85
3.85,3.85,3.85,3.85
3.85,3.85,3.85,3.85
3.85,3.85,2.85,3.85
2.8257653061224492,2.8257653061224492,2.85,2.8257653061224492
3.85,3.85,3.85,3.85
2.8257653061224492,2.8257653061224492,2.85,2.8257653061224492
3.8257653061224492,3.8257653061224492,3.85,3.8257653061224492
3.475765306122449,3.475765306122449,3.5,3.475765306122449
3.8000000000000003,3.8000000000000003,2.2,3.8000000000000003
3.8257653061224492,3.8257653061224492,3.85,3.8257653061224492
3.8257653061224492,3.8257653061224492,3.85,3.8257653061224492
3.475765306122449,3.475765306122449,3.5,3.475765306122449
3.8257653061224492,3.8257653061224492,3.85,3.8257653061224492
3.85,3.85,3.85,3.85
3.85,3.85,3.85,3.85
3.85,3.85,3.5,3.85
3.8000000000000003,3.8000000000000003,3.85,3.8000000000000003
3.475765306122449,3.475765306122449,3.5,3.475765306122449
3.85,3.85,3.85,3.85
3.125765306122449,3.125765306122449,3.15,3.125765306122449
3.8000000000000003,3.8000000000000003,3.5,3.8000000000000003
3.8257653061224492,3.8257653061224492,3.85,3.8257653061224492
3.8257653061224492,3.8257653061224492,3.85,3.8257653061224492
3.85,3.85,3.85,3.85
3.8257653061224492,3.8257653061224492,3.85,3.8257653061224492
3.8257653061224492,3.8257653061224492,3.85,3.8257653061224492
3.85,3.85,3.85,3.85
3.85,3.85,2.2,3.85
3.8257653061224492,3.8257653061224492,3.85,3.8257653061224492
3.475765306122449,3.475765306122449,3.5,3.475765306122449
3.8257653061224492,3.8257653061224492,3.85,3.8257653061224492
3.8257653061224492,3.8257653061224492,3.85,3.8257653061224492
3.8257653061224492,3.8257653061224492,3.85,3.8257653061224492
3.8257653061224492,3.8257653061224492,3.85,3.8257653061224492
3.8257653061224492,3.8257653061224492,3.85,3.8257653061224492
3.85,3.85,3.85,3.85
2.8257653061224492,2.8257653061224492,2.85,2.8257653061224492
2.8257653061224492,2.8257653061224492,2.85,2.8257653061224492
3.475765306122449,3.475765306122449,3.5,3.475765306122449
3.85,3.85,3.85,3.85
3.85,3.85,3.85,3.85
3.8257653061224492,3.8257653061224492,3.85,3.8257653061224492
3.475765306122449,3.475765306122449,3.5,3.475765306122449
3.8000000000000003,3.8000000000000003,3.15,3.8000000000000003
3.85,3.85,2.85,3.85
3.8257653061224492,3.8257653061224492,3.85,3.8257653061224492
3.85,3.85,3.5,3.85
3.85,3.85,3.85,3.85
3.85,3.85,3.5,3.85
3.85,3.85,3.85,3.85
3.8257653061224492,3.8257653061224492,3.85,3.8257653061224492
3.8257653061224492,3.8257653061224492,3.85,3.8257653061224492
3.8257653061224492,3.8257653061224492,3.85,3.8257653061224492
3.85,3.85,3.85,3.85
3.8257653061224492,3.8257653061224492,3.85,3.8257653061224492
3.85,3.85,3.15,3.85
3.8000000000000003,3.8000000000000003,3.15,3.8000000000000003
3.85,3.85,3.85,3.85
